Year,Beer,Wine,Spirits,Alcohol,Country
1961,1.86,15.13,2.17,19.17,France
1962,1.34,14.53,2.26,18.14,France
1963,1.83,14.02,2.38,18.23,France
1964,2.05,13.31,2.44,17.8,France
1965,1.96,12.96,2.5,17.42,France
1966,2.02,12.87,2.52,17.42,France
1967,2.04,12.7,2.51,17.25,France
1968,2,12.7,2.15,16.86,France
1969,2.04,12.38,2.22,16.64,France
1970,2.07,12.01,2.3,16.38,France
1971,2.1,11.9,2.18,16.17,France
1972,2.02,11.78,2.23,16.03,France
1973,2.23,11.62,2.36,16.21,France
1974,2.21,11.46,2.39,16.06,France
1975,2.25,11.42,2.42,16.09,France
1976,2.44,11.15,2.34,15.93,France
1977,2.31,11.24,2.37,15.93,France
1978,2.27,10.61,2.46,15.35,France
1979,2.28,10.23,2.54,15.05,France
1980,2.22,10.03,2.31,14.57,France
1981,2.21,9.82,2.12,14.15,France
1982,2.19,9.71,2.22,14.12,France
1983,2.19,9.36,2.18,13.72,France
1984,2.06,9.02,2.03,13.12,France
1985,2.01,8.77,2.13,12.92,France
1986,2.02,8.41,2.15,12.57,France
1987,1.95,8.27,2.2,12.42,France
1988,1.97,8.19,2.27,12.44,France
1989,2.05,8.19,2.38,12.62,France
1990,2.08,8.02,2.29,12.4,France
1991,2.03,7.4,2.29,11.72,France
1992,2.06,7.13,2.48,11.67,France
1993,1.96,7,2.28,11.24,France
1994,1.97,6.89,2.29,11.14,France
1995,1.96,6.93,2.27,11.16,France
1996,1.98,6.6,2.32,10.89,France
1997,1.85,6.48,2.22,10.55,France
1998,1.93,6.39,2.23,10.54,France
1999,1.94,6.32,2.2,10.46,France
2000,1.69,6.98,2.2,10.87,France
2001,1.75,6.83,2.25,10.82,France
2002,1.83,6.99,2.23,11.05,France
2003,1.86,6.81,2.16,10.83,France
2004,1.83,6.6,2.18,10.6,France
2005,1.88,5.79,2.12,9.79,France
2006,1.96,5.79,2.2,9.95,France
2007,1.88,5.71,2.2,9.79,France
2008,1.79,5.46,2.28,9.54,France
2009,1.79,5.46,2.2,9.46,France
2010,1.79,5.38,2.2,9.38,France
2011,1.71,5.63,2.12,9.46,France
2012,1.71,5.46,2.04,9.21,France
2013,1.47,5.3,2.04,8.8,France
2014,1.87,5.22,2.04,9.13,France
