Year,Beer,Country
1961,5.07,Germany
1962,5.35,Germany
1963,5.64,Germany
1964,6.07,Germany
1965,6.08,Germany
1966,6.26,Germany
1967,6.3,Germany
1968,6.39,Germany
1969,6.89,Germany
1970,7.01,Germany
1971,7.2,Germany
1972,7.27,Germany
1973,7.35,Germany
1974,7.36,Germany
1975,7.38,Germany
1976,7.51,Germany
1977,7.39,Germany
1978,7.22,Germany
1979,7.21,Germany
1980,7.28,Germany
1981,7.35,Germany
1982,7.43,Germany
1983,7.46,Germany
1984,7.26,Germany
1985,7.28,Germany
1986,7.31,Germany
1987,7.18,Germany
1988,7.12,Germany
1989,7.13,Germany
1990,7.15,Germany
1991,6.79,Germany
1992,6.9,Germany
1993,6.28,Germany
1994,6.38,Germany
1995,6.31,Germany
1996,6.13,Germany
1997,6.09,Germany
1998,5.91,Germany
1999,6.39,Germany
2000,6.06,Germany
2001,5.69,Germany
2002,5.67,Germany
2003,5.48,Germany
2004,5.38,Germany
2005,5.5,Germany
2006,5.6,Germany
2007,5.4,Germany
2008,5.29,Germany
2009,5.29,Germany
2010,5.2,Germany
2011,5.15,Germany
2012,5.15,Germany
2013,5.05,Germany
2014,5.1,Germany
